A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/9/2017 11:00,2017,1,9,11,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 12:00,2017,1,9,12,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 13:00,2017,1,9,13,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 14:00,2017,1,9,14,85,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 15:00,2017,1,9,15,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 16:00,2017,1,9,16,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 17:00,2017,1,9,17,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 18:00,2017,1,9,18,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 19:00,2017,1,9,19,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 20:00,2017,1,9,20,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 21:00,2017,1,9,21,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 22:00,2017,1,9,22,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2017 23:00,2017,1,9,23,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 0:00,2017,1,10,0,93,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 1:00,2017,1,10,1,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 2:00,2017,1,10,2,97,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 3:00,2017,1,10,3,84,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 4:00,2017,1,10,4,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 5:00,2017,1,10,5,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 6:00,2017,1,10,6,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 7:00,2017,1,10,7,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 8:00,2017,1,10,8,96,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 9:00,2017,1,10,9,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2017 10:00,2017,1,10,10,110,µg/m³,1 Hr,Valid
